Week,avg_session_duration,Week_Start,Week_End,Meta_18-24_Impressions,Meta_25-34_Impressions,Meta_35-44_Impressions,Meta_45-54_Impressions,Meta_55-64_Impressions,Meta_65+_Impressions,Meta_18-24_ThruPlays,Meta_25-34_ThruPlays,Meta_35-44_ThruPlays,Meta_45-54_ThruPlays,Meta_55-64_ThruPlays,Meta_65+_ThruPlays,Meta_female_Impressions,Meta_male_Impressions,Meta_female_ThruPlays,Meta_male_ThruPlays,Meta_female_18-24_Impressions,Meta_female_25-34_Impressions,Meta_female_35-44_Impressions,Meta_female_45-54_Impressions,Meta_female_55-64_Impressions,Meta_female_65+_Impressions,Meta_male_18-24_Impressions,Meta_male_25-34_Impressions,Meta_male_35-44_Impressions,Meta_male_45-54_Impressions,Meta_male_55-64_Impressions,Meta_male_65+_Impressions,Meta_female_18-24_ThruPlays,Meta_female_25-34_ThruPlays,Meta_female_35-44_ThruPlays,Meta_female_45-54_ThruPlays,Meta_female_55-64_ThruPlays,Meta_female_65+_ThruPlays,Meta_male_18-24_ThruPlays,Meta_male_25-34_ThruPlays,Meta_male_35-44_ThruPlays,Meta_male_45-54_ThruPlays,Meta_male_55-64_ThruPlays,Meta_male_65+_ThruPlays,Meta_engaged_Impressions,Meta_prospecting_Impressions,Meta_unknown_Audience_Impressions,Meta_LEARN_MORE_Impressions,Meta_ORDER_NOW_Impressions,Meta_SHOP_NOW_Impressions,Meta_Image_Impressions,Meta_Video_Impressions,Meta_Image_ThruPlays,Meta_Video_ThruPlays,Shopify_Net_items_sold,Shopify_Quantity_ordered,Meta_OUTCOME_ENGAGEMENT_Impressions,Meta_OUTCOME_SALES_Impressions,Meta_Traffic_and_Awareness_Impressions,Meta_OUTCOME_ENGAGEMENT_ThruPlays,Meta_OUTCOME_SALES_ThruPlays,Meta_Traffic_and_Awareness_ThruPlays,Shopify_Homepage_Direct_Traffic,Shopify_Sessions,Shopify_Sessions_With_Cart_Additions,Meta_Total_Impressions,Meta_Total_ThruPlays,Amazon Brand Impressions,Amazon Search Query Volume,Amazon_total_quantity,Amazon_total_product_sales,ATC_impressions,ATC_thruplays,Google_Organic_Sessions,Google_Organic_Clicks,Google_Organic_Impressions,Google_PMax_Impressions,Google_PMax_Clicks,Google_PMax_Conversions,Google_Ads_Impressions,Google_Ads_Clicks,Google_Ads_Conversions,Google_YouTube_Impressions,Google_YouTube_Clicks,Google_YouTube_Views
1.0,52.0,01-01-2025,04-01-2025,708590.0,621923.0,207844.0,49139.0,11205.0,15531.0,14622.0,14243.0,6233.0,1689.0,368.0,273.0,165959.0,1445007.0,3448.0,33903.0,101813.0,43107.0,13279.0,3943.0,1065.0,2752.0,605025.0,577906.0,194163.0,45078.0,10116.0,12719.0,1837.0,995.0,402.0,149.0,25.0,40.0,12744.0,13230.0,5814.0,1539.0,343.0,233.0,40075.0,307610.0,1266547.0,34338.0,47840.0,249794.0,199660.0,1414572.0,43.0,37385.0,247.0,245.0,0.0,347710.0,1266522.0,0.0,14196.0,23232.0,110.0,127.0,22.0,1614232.0,37428.0,6594.0,7030.0,113,38517.89,0.0,0.0,5397,4403,62534,512742,12729,996,409529,11999,1203,578273,9263,141606
2.0,50.16,05-01-2025,11-01-2025,853783.0,792277.0,284443.0,77006.0,23053.0,23948.0,21118.0,25321.0,12006.0,3698.0,1044.0,706.0,236921.0,1813434.0,7792.0,55970.0,119693.0,67730.0,27205.0,12386.0,5051.0,4856.0,731997.0,723393.0,256657.0,64423.0,17964.0,19000.0,2638.0,2467.0,1605.0,683.0,240.0,159.0,18432.0,22817.0,10369.0,3003.0,803.0,546.0,19365.0,187318.0,1847827.0,100381.0,190164.0,396980.0,374799.0,1679711.0,15.0,63878.0,539.0,277.0,0.0,531250.0,1523260.0,0.0,30329.0,33564.0,250.0,283.0,38.0,2054510.0,63893.0,7278.0,7653.0,184,70412.15,0.0,0.0,4956,4635,67886,573272,14617,1175,495620,15600,1532,689139,10347,167964
3.0,50.0,12-01-2025,18-01-2025,877558.0,869090.0,320381.0,105441.0,32980.0,27768.0,24208.0,25117.0,11605.0,6161.0,2235.0,1006.0,231540.0,1997681.0,7745.0,62474.0,122925.0,64860.0,23905.0,11133.0,3591.0,5126.0,752762.0,802934.0,295966.0,94106.0,29345.0,22568.0,3175.0,2264.0,1103.0,858.0,200.0,145.0,20996.0,22813.0,10484.0,5292.0,2030.0,859.0,64281.0,287640.0,1881297.0,28679.0,12801.0,397640.0,298588.0,1934630.0,18.0,70314.0,302.0,309.0,0.0,480525.0,1752693.0,0.0,18930.0,51402.0,253.0,307.0,74.0,2233218.0,70332.0,6127.0,7308.0,164,60400.99,21310.0,5130.0,5651,4940,72139,677926,17137,1372,560398,16459,1646,843672,12445,211160
4.0,51.15,19-01-2025,25-01-2025,1074953.0,1003870.0,348137.0,107339.0,28400.0,28080.0,36623.0,36737.0,15107.0,7364.0,2047.0,1006.0,243299.0,2342987.0,8085.0,90657.0,138611.0,63998.0,22059.0,10245.0,2947.0,5439.0,934141.0,938487.0,325491.0,96866.0,25419.0,22583.0,3601.0,2148.0,1113.0,870.0,193.0,160.0,32940.0,34553.0,13977.0,6490.0,1852.0,845.0,104818.0,471894.0,2014067.0,44400.0,12658.0,378278.0,343220.0,2247559.0,15.0,98869.0,283.0,290.0,0.0,575957.0,2014822.0,0.0,27433.0,71451.0,401.0,449.0,76.0,2590779.0,98884.0,5450.0,7249.0,205,77527.89,20622.0,7453.0,6418,4750,63932,822983,20545,1624,636135,18659,1883,911399,13735,223694
5.0,56.79,26-01-2025,01-02-2025,1275372.0,1276024.0,473513.0,156578.0,46547.0,39121.0,39489.0,47183.0,22573.0,10756.0,3709.0,1592.0,351945.0,2910299.0,11396.0,113744.0,191576.0,100920.0,33489.0,14010.0,4315.0,7635.0,1081432.0,1173520.0,439428.0,142333.0,42189.0,31397.0,4981.0,3458.0,1553.0,912.0,257.0,235.0,34450.0,43672.0,20989.0,9832.0,3448.0,1353.0,88573.0,328377.0,2850205.0,56588.0,25813.0,211732.0,172292.0,3094863.0,4.0,125298.0,226.0,236.0,0.0,416337.0,2850818.0,0.0,23993.0,101309.0,301.0,339.0,46.0,3267155.0,125302.0,4278.0,7050.0,189,69073.21,11446.0,4027.0,5079,4446,68170,923884,22758,1884,820194,25011,2551,1190676,17826,299021
6.0,63.57,02-02-2025,08-02-2025,192116.0,297536.0,141118.0,34277.0,2074.0,775.0,9963.0,14230.0,8494.0,3346.0,305.0,61.0,27018.0,639150.0,2004.0,34303.0,8801.0,8711.0,6792.0,2466.0,156.0,92.0,182745.0,288174.0,133981.0,31653.0,1917.0,680.0,495.0,561.0,662.0,265.0,19.0,2.0,9433.0,13643.0,7809.0,3073.0,286.0,59.0,150023.0,498185.0,19688.0,43624.0,172953.0,332509.0,160054.0,507842.0,1.0,36398.0,366.0,366.0,0.0,648191.0,19705.0,0.0,36153.0,246.0,261.0,298.0,30.0,667896.0,36399.0,5025.0,7254.0,209,77756.65,49007.0,6194.0,5146,4220,64605,206830,4564,384,186837,5882,621,236464,3480,58864
7.0,54.01,09-02-2025,15-02-2025,152348.0,287400.0,146981.0,40145.0,2089.0,207.0,6393.0,12635.0,8688.0,4111.0,366.0,36.0,27744.0,599463.0,2445.0,29695.0,6177.0,9244.0,8715.0,3442.0,161.0,5.0,145611.0,277414.0,137877.0,36440.0,1919.0,202.0,377.0,709.0,908.0,426.0,24.0,1.0,5990.0,11896.0,7765.0,3667.0,342.0,35.0,125422.0,503748.0,0.0,34978.0,101187.0,386598.0,159236.0,469934.0,7.0,32222.0,316.0,321.0,0.0,629170.0,0.0,0.0,32229.0,0.0,281.0,317.0,53.0,629170.0,32229.0,5030.0,7482.0,166,66188.63,58477.0,7435.0,6663,5392,80905,197846,4767,320,204873,6364,711,302639,4723,74465
8.0,50.72,16-02-2025,22-02-2025,138040.0,273809.0,141190.0,41422.0,3318.0,702.0,2944.0,4744.0,3434.0,2288.0,372.0,45.0,16970.0,579630.0,723.0,13066.0,4074.0,5424.0,4609.0,2575.0,262.0,26.0,133427.0,267767.0,136140.0,38582.0,3039.0,675.0,107.0,153.0,176.0,254.0,31.0,2.0,2827.0,4573.0,3251.0,2031.0,341.0,43.0,79637.0,518844.0,0.0,8709.0,21310.0,493351.0,389479.0,209002.0,13.0,13814.0,296.0,312.0,0.0,598481.0,0.0,0.0,13827.0,0.0,304.0,344.0,53.0,598481.0,13827.0,4753.0,7448.0,205,77458.99,58837.0,7071.0,6080,5412,80007,206908,5515,446,112485,3594,332,279681,4422,65382
9.0,18.68,23-02-2025,01-03-2025,364037.0,559788.0,267797.0,96265.0,31089.0,18841.0,16362.0,20816.0,9728.0,4013.0,1300.0,867.0,70687.0,1264222.0,4712.0,48259.0,17934.0,20883.0,15727.0,10574.0,3380.0,2189.0,345240.0,537883.0,251470.0,85324.0,27685.0,16620.0,1322.0,1226.0,845.0,748.0,342.0,229.0,15004.0,19558.0,8852.0,3254.0,955.0,636.0,137055.0,723969.0,476793.0,12794.0,271494.0,361784.0,146468.0,1191349.0,0.0,53086.0,294.0,299.0,0.0,860920.0,476897.0,0.0,33751.0,19335.0,505.0,537.0,43.0,1337817.0,53086.0,6156.0,7543.0,259,99699.08,0.0,0.0,5157,4795,64848,358051,9036,703,398445,11949,1225,458277,6715,111685
10.0,12.26,02-03-2025,08-03-2025,846289.0,720628.0,235598.0,74772.0,22258.0,12540.0,24365.0,25670.0,10792.0,5420.0,2240.0,860.0,103783.0,1804536.0,8529.0,60672.0,32917.0,25916.0,18010.0,16534.0,7954.0,2452.0,811718.0,693632.0,216956.0,57922.0,14260.0,10048.0,1133.0,1737.0,1687.0,2344.0,1289.0,339.0,23172.0,23892.0,9082.0,3062.0,947.0,517.0,135484.0,493250.0,1283351.0,43523.0,104244.0,544384.0,265373.0,1646712.0,26.0,69321.0,289.0,291.0,0.0,628625.0,1283460.0,0.0,18331.0,51016.0,200.0,226.0,37.0,1912085.0,69347.0,5858.0,7227.0,219,83344.87,0.0,0.0,6034,5501,80411,527409,12686,1040,419458,12269,1233,708092,10448,180799
11.0,34.99,09-03-2025,15-03-2025,444180.0,512214.0,251878.0,153098.0,26273.0,8566.0,13298.0,20100.0,12547.0,9509.0,2163.0,858.0,175914.0,1217591.0,6816.0,51525.0,40233.0,46796.0,39593.0,40773.0,7124.0,1395.0,402951.0,464678.0,211733.0,111967.0,19119.0,7143.0,926.0,1354.0,1776.0,2168.0,457.0,135.0,12328.0,18711.0,10748.0,7314.0,1703.0,721.0,114682.0,923237.0,358290.0,79413.0,128758.0,607830.0,398813.0,997396.0,14.0,58461.0,243.0,244.0,0.0,1037922.0,358287.0,0.0,47534.0,10941.0,234.0,256.0,30.0,1396209.0,58475.0,5132.0,7513.0,205,77398.76,477528.0,18346.0,5295,4165,60761,437130,10997,855,344498,10361,1112,514488,7634,131126
12.0,18.78,16-03-2025,22-03-2025,164691.0,256735.0,160251.0,100138.0,86562.0,86638.0,3088.0,5528.0,5916.0,5993.0,10057.0,12791.0,158676.0,694648.0,8440.0,34870.0,20640.0,32248.0,29607.0,31920.0,22856.0,21405.0,143565.0,224115.0,130248.0,67948.0,63633.0,65139.0,403.0,802.0,1226.0,1596.0,2019.0,2394.0,2675.0,4719.0,4676.0,4384.0,8029.0,10387.0,120369.0,734646.0,0.0,50114.0,145284.0,561092.0,261001.0,594014.0,18.0,43355.0,258.0,258.0,0.0,855015.0,0.0,0.0,43373.0,0.0,216.0,242.0,20.0,855015.0,43373.0,3380.0,7828.0,213,76567.41,463761.0,34871.0,5360,4432,62468,266898,6826,542,231403,6705,642,354000,4619,83612
13.0,22.94,23-03-2025,29-03-2025,158331.0,319168.0,216064.0,142622.0,107070.0,67323.0,3846.0,7636.0,7882.0,6723.0,7491.0,6381.0,165425.0,843015.0,5284.0,34610.0,14895.0,36787.0,34057.0,34500.0,28007.0,17179.0,142942.0,281896.0,181507.0,107746.0,78925.0,49999.0,327.0,663.0,988.0,1093.0,1172.0,1041.0,3510.0,6962.0,6879.0,5614.0,6316.0,5329.0,127987.0,867902.0,14689.0,130413.0,160103.0,533678.0,259459.0,751119.0,49.0,39910.0,167.0,167.0,0.0,995889.0,14689.0,0.0,39601.0,358.0,212.0,240.0,23.0,1010578.0,39959.0,4414.0,7625.0,254,89489.05,546476.0,26845.0,5993,5226,77583,311940,7444,610,261074,8173,787,315105,4272,79272
14.0,28.55,30-03-2025,05-04-2025,443643.0,427930.0,153148.0,54564.0,24442.0,21915.0,13220.0,13641.0,5250.0,4030.0,5124.0,6672.0,64175.0,1059138.0,4438.0,43405.0,20584.0,16385.0,11444.0,7634.0,4360.0,3768.0,422104.0,410935.0,141367.0,46641.0,19998.0,18093.0,717.0,595.0,529.0,657.0,898.0,1042.0,12474.0,13025.0,4713.0,3360.0,4214.0,5619.0,118495.0,366261.0,640886.0,10438.0,13744.0,302305.0,258163.0,867479.0,31.0,47906.0,232.0,237.0,0.0,484752.0,640890.0,0.0,26156.0,21781.0,312.0,347.0,24.0,1125642.0,47937.0,4463.0,8116.0,226,80822.73,77986.0,18950.0,4336,4075,63145,349818,8806,730,262729,7830,762,421416,6731,109110
